"","RIVTYPE","tot_leng18","B18","C18","A18","D18","F18","DDef18","E18","tot_pa18","B","C","A","D","F","DDef","E","tot_pa24","prp_pa18","prp_pa18_ab","prp_pa18_model","EPL18_all","EPL18_ab","EPL18_model","EPL18_wp_ab_model","prp_pa24","prp_pa24_ab","prp_pa24_model","EPL24_all","EPL24_ab","EPL24_model","EPL24_wp_ab_model","zone"
"1","10_N_L",1972.01022777634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lower foothill"
"2","10_N_M",50330.6289617102,11436.6556091391,0,5799.16690630964,0,0,0,0,17235.8225154487,11436.6556091391,463.770930890019,5799.16690630964,0,0,0,0,17699.5934463388,0.342451959592262,0.342451959592262,0.342451959592262,"WP","WP","WP","WP",0.351666446684066,0.342451959592262,0.345216305719803,"WP","WP","WP","WP","Mountain stream"
"3","10_N_U",142321.496680765,3195.97138137131,380.048815363266,724.671382986272,0,0,0,0,4300.69157972085,3195.97138137131,12662.3138608514,724.671382986272,0,0,0,0,16582.956625209,0.0302181446936829,0.0275477904307865,0.0283488967096554,"PP","PP","PP","PP",0.116517581756504,0.0275477904307865,0.0542387278285018,"PP","PP","PP","PP","Upper foothill"
"4","10_P_L",377485.660332358,2228.86195611423,67918.6360901433,0,14868.2220373438,3825.87956932749,0,0,88841.5996529289,2228.86195611423,85518.8168891057,0,14936.3263013501,3825.87956932749,0,0,106509.884715897,0.235350925846317,0.00590449436980421,0.0727113907509146,"MP","NP","PP","PP",0.282156107922406,0.00590449436980421,0.0867529453737413,"MP","NP","PP","PP","Lower foothill"
"5","10_P_M",147597.496265175,14669.7198843777,32034.0098115826,0,5407.82716902075,44.9395355578909,0,0,52156.496400539,15971.159662814,32917.1309698768,0,5407.82716902075,44.9395355578909,0,0,54341.0573372695,0.353369790953866,0.0993900320505571,0.175523065008977,"WP","PP","MP","MP",0.368170590371261,0.108207524293773,0.186135549404446,"WP","PP","MP","MP","Mountain stream"
"6","10_P_U",902386.940748308,74998.972181382,57906.4426762474,0,27504.0852275939,18764.822987102,0,0,179174.323072325,90150.89002098,65252.0671439869,0,27504.0852275939,18764.822987102,0,0,201671.865379663,0.198555979681781,0.083111765911848,0.113586099513195,"MP","PP","PP","PP",0.223487127608945,0.0999026980002858,0.132819096353251,"MP","PP","PP","PP","Upper foothill"
"7","11_N_F",259530.876561295,0,18248.572294288,0,2595.55860350579,20278.9900501337,0,1038.24875255787,42161.3697004854,0,2713.80313507356,0,18385.0593585121,364.830188374591,0,20697.6770185251,42161.3697004854,0.162452230189759,0,0.0323081525431791,"MP","NP","PP","PP",0.162452230189759,0,0.0325044541155908,"MP","NP","PP","PP","Lowland river"
"8","11_N_L",4796280.46726565,33280.6082063407,60188.4107536567,0,16643.8612406641,28076.9897220316,0,714.190928909742,138904.060851603,36728.8212203036,66949.5383016123,0,20462.4762984157,6256.2772219475,0,6527.00007087811,136924.113113157,0.0289607878020511,0.00693883696616138,0.0123448593704709,"PP","NP","NP","NP",0.0285479788030864,0.00765777178189969,0.0133917842728268,"PP","NP","NP","NP","Lower foothill"
"9","11_N_M",62993.2630414656,0,1790.19006326694,0,7865.95615314706,340.500371061425,0,0,9996.64658747543,0,179.797180740337,0,8671.00836507665,340.500371061425,0,805.340670597014,9996.64658747543,0.158693900026977,0,0.0465271008441183,"MP","NP","PP","PP",0.158693900026977,0,0.0439701903692096,"MP","NP","PP","PP","Mountain stream"
"10","11_N_U",3394225.29333632,11905.893696534,42859.0523801194,0,32441.9863778503,7933.90981946892,154.601499044787,0,95295.4437730174,12803.5586971502,45372.7892839331,0,19945.3649290909,6691.40909336339,154.601499044787,21554.5967350681,106522.320237651,0.0280757567743383,0.00355323944443419,0.0104425000528109,"PP","NP","NP","NP",0.03138339710295,0.00381770774663515,0.0104230579839239,"PP","NP","NP","NP","Upper foothill"
"11","11_P_F",4646375.54697109,47252.7953223266,174646.667258944,0,32331.2395951605,106253.478103892,0,10923.9299689709,371408.110249294,28156.5954055416,149606.998775252,0,123527.41763162,53494.542372227,0,24670.30670594,379455.86089058,0.0799350174118856,0.0101698183551112,0.0260555581360108,"PP","NP","PP","PP",0.0816670665241302,0.0060599052144841,0.0253775021074837,"PP","NP","PP","PP","Lowland river"
"12","11_P_L",8442242.96822967,29786.7144812573,95776.8668129601,0,25306.7323508004,120757.196177943,0,33049.9726899995,304677.48251296,49975.4665457692,115784.793441396,0,51372.9890955054,37158.5318384997,0,66646.2532772309,320938.034198401,0.0360896368014448,0.00352829391351947,0.00965294548188874,"PP","NP","NP","NP",0.0380157305832316,0.00591969062414333,0.013089327117718,"PP","NP","NP","NP","Lower foothill"
"13","11_P_M",89469.077517384,1696.64816046851,3843.00619110174,0,0,426.748375178659,0,5527.93161888244,11494.3343456314,239.642841341547,7474.43455038755,0,1946.91114486489,426.748375178659,0,1406.59743385871,11494.3343456314,0.128472704364231,0.0189635146303912,0.0385051250420658,"PP","PP","PP","PP",0.128472704364231,0.00267849907466615,0.0363184825526971,"PP","NP","PP","PP","Mountain stream"
"14","11_P_U",2760273.14287727,14782.4656130124,42619.7617141794,0,5116.41558952685,6367.91595350228,0,16746.3481537963,85632.9070240173,11861.1268766632,66623.210396854,0,12025.1675220394,2984.44952839724,0,6128.7877109148,99622.7420348686,0.0310233453689133,0.00535543580212621,0.0113810277420979,"PP","NP","NP","NP",0.0360916245886533,0.00429708447776993,0.0131751323488059,"PP","NP","NP","NP","Upper foothill"
"15","12_N_F",3304.26389859087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lowland river"
"16","12_N_L",179426.663127422,0,0,135075.480080041,0,2400.27675113769,0,0,137475.756831178,0,0,135075.480080041,0,2400.27675113769,0,0,137475.756831178,0.766194691663792,0.752817210807264,0.754154958892917,"WP","WP","WP","WP",0.766194691663792,0.752817210807264,0.754154958892917,"WP","WP","WP","WP","Lower foothill"
"17","12_N_M",20929.1634595313,0,0,1123.18382549148,0,0,0,0,1123.18382549148,0,0,1123.18382549148,0,0,0,0,1123.18382549148,0.053665968430285,0.053665968430285,0.053665968430285,"PP","PP","PP","PP",0.053665968430285,0.053665968430285,0.053665968430285,"PP","PP","PP","PP","Mountain stream"
"18","12_N_U",264340.081871785,0,0,83911.9196055279,0,151.312672720596,0,0,84063.2322782485,0,0,83911.9196055279,0,151.312672720596,0,0,84063.2322782485,0.318011675274515,0.317439258592,0.317496500260252,"WP","WP","WP","WP",0.318011675274515,0.317439258592,0.317496500260252,"WP","WP","WP","WP","Upper foothill"
"19","12_P_F",27294.6532986104,1710.08637066205,0,0,0,0,0,0,1710.08637066205,1710.08637066205,0,0,0,0,0,0,1710.08637066205,0.0626527969398721,0.0626527969398721,0.0626527969398721,"PP","PP","PP","PP",0.0626527969398721,0.0626527969398721,0.0626527969398721,"PP","PP","PP","PP","Lowland river"
"20","12_P_L",111408.101476893,20784.7494400152,0,18010.9611744307,21176.3577898076,5973.1045421616,0,0,65945.1729464151,20784.7494400152,0,18010.9611744307,21176.3577898076,5973.1045421616,0,0,65945.1729464151,0.5919243939373,0.348230605316369,0.410615815180124,"WP","WP","WP","WP",0.5919243939373,0.348230605316369,0.410615815180124,"WP","WP","WP","WP","Lower foothill"
"21","12_P_M",2444.03890255562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Mountain stream"
"22","12_P_U",30389.7219426598,0,0,375.292066589799,0,103.166117056381,0,0,478.45818364618,0,0,375.292066589799,0,103.166117056381,0,0,478.45818364618,0.0157440790195102,0.0123493089965716,0.0126887859988655,"PP","NP","NP","NP",0.0157440790195102,0.0123493089965716,0.0126887859988655,"PP","NP","NP","NP","Upper foothill"
"23","13_N_F",63674.2013757959,54589.4647811474,2733.1772098167,0,0,0,6.07276749737764,0,57328.7147584615,39815.4548603409,2733.1772098167,0,14774.0099208066,0,6.07276749737764,0,57328.7147584615,0.900344464787485,0.857420059757481,0.870297381266482,"WP","WP","WP","WP",0.900344464787485,0.625395007199499,0.707879844475895,"WP","WP","WP","WP","Lowland river"
"24","13_N_L",93345.2696548601,41536.9849560879,0,0,6821.28954581008,0,0,0,48358.274501898,34346.3821446628,1203.26911545553,5987.33369596957,6821.28954581008,0,0,0,48358.274501898,0.518058115646358,0.444982216128027,0.466904985983527,"WP","WP","WP","WP",0.518058115646358,0.432091695591694,0.457881621608093,"WP","WP","WP","WP","Lower foothill"
"25","13_N_U",16610.7327366702,5633.50552036847,0,0,0,0,0,0,5633.50552036847,5633.50552036847,0,0,0,0,0,0,5633.50552036847,0.339148525816193,0.339148525816193,0.339148525816193,"WP","WP","WP","WP",0.339148525816193,0.339148525816193,0.339148525816193,"WP","WP","WP","WP","Upper foothill"
"26","13_P_F",536552.176927725,11024.5720855652,52839.0820490073,0,23448.6133697854,0,29259.8533251665,148659.651174942,265231.772004466,17203.2527044434,65902.3809745939,0,25487.8958376639,0,29259.8533251665,149991.33332507,287844.716166938,0.494326150204388,0.0750801639486372,0.145441026072615,"WP","PP","PP","PP",0.536471061985293,0.0865956900886241,0.165648982946474,"WP","PP","MP","MP","Lowland river"
"27","13_P_L",215740.101481715,0,4170.86038504924,0,6742.88281160296,1779.45205246403,0,1833.75235100581,14526.947600122,21.3240538832114,4170.86038504924,0,10356.0872150728,0,0,0,14548.2716540053,0.0673354072810302,0,0.0168510322113238,"PP","NP","PP","PP",0.0674342486820343,0.0000988414010040631,0.0202994635853131,"PP","NP","PP","PP","Lower foothill"
"28","13_P_M",4377.76976835622,0,0,0,0,0,0,0,0,1659.97228076527,0,0,0,0,0,0,1659.97228076527,0,0,0,"NP","NP","NP","NP",0.379182179191796,0.379182179191796,0.379182179191796,"WP","WP","WP","WP","Mountain stream"
"29","13_P_U",91026.6132518822,0,0,0,0,0,162.650182528769,0,162.650182528769,6119.32471495431,0,0,0,0,162.650182528769,0,6281.97489748308,0.00178684207528072,0.00178684207528072,0.00178684207528072,"NP","NP","NP","NP",0.0690125082441555,0.0690125082441555,0.0690125082441555,"PP","PP","PP","PP","Upper foothill"
"30","14_N_F",25882.0604649125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lowland river"
"31","14_N_L",311766.013096091,0,1990.0116872732,0,0,5227.57154187452,0,0,7217.58322914773,0,7217.58322914773,0,0,0,0,0,7217.58322914773,0.0231506415900542,0,0.00359167007734191,"PP","NP","NP","NP",0.0231506415900542,0,0.00694519247701625,"PP","NP","NP","NP","Lower foothill"
"32","14_N_M",54738.4121435363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Mountain stream"
